Title,Year,Rated,Released,Season,Episode,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,seriesID,Type,Response
Christmas,2013,TV-14,03 Dec 2013,1,11,21 min,"Comedy, Crime",Jake Szymanski,"Dan Goor, Michael Schur, Lesley Arfin","Andy Samberg, Stephanie Beatriz, Terry Crews","When Holt receives death threats, he surprisingly puts Jake in charge of his security. Meanwhile, Terry undergoes a psych evaluation, and Amy tries to make the perfect holiday card for Holt.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDY2NTYyNjk2OV5BMl5BanBnXkFtZTgwNTI5MDM5NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,4023,tt3277264,tt2467372,episode,True
Pontiac Bandit,2014,TV-14,07 Jan 2014,1,12,21 min,"Comedy, Crime",Craig Zisk,"Dan Goor, Michael Schur, Norm Hiscock","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake convinces Rosa to make a deal with a criminal in order to catch a car thief, while Charles makes an awkward return to the precinct, and Holt tries to get rid of two puppies.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTUzOTQwOTExNl5BMl5BanBnXkFtZTgwMDQyNjE5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,4076,tt3424950,tt2467372,episode,True
The Bet,2014,TV-14,14 Jan 2014,1,13,21 min,"Comedy, Crime",Julian Farino,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Amy's ongoing bet about who can make more arrests comes to a close. Charles receives the Medal of Valor for getting shot in the line of duty, but the pain medication he is taking causes him to reveal his true opinions.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODg3ODg4OTczN15BMl5BanBnXkFtZTgwNzUyNjE5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,4881,tt3383490,tt2467372,episode,True
The Ebony Falcon,2014,TV-14,21 Jan 2014,1,14,22 min,"Comedy, Crime",Michael Blieden,"Dan Goor, Michael Schur, Prentice Penny","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake begins to have second thoughts about putting Terry back in the field for a dangerous undercover assignment, while Rosa and Amy try to help Gina after she is robbed.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTg1MDI1NTI0OF5BMl5BanBnXkFtZTgwNzIyNjE5MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,3917,tt3454684,tt2467372,episode,True
Operation: Broken Feather,2014,TV-14,02 Feb 2014,1,15,22 min,"Comedy, Crime",Julie Anne Robinson,"Dan Goor, Michael Schur, Gil Ozeri","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake is hurt when Amy tells him that she is considering leaving the precinct, while Terry helps Holt redesign the precinct to make everyone more productive.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjIyMTM4OTI0MV5BMl5BanBnXkFtZTgwMDQ5NzYwMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,3977,tt3468330,tt2467372,episode,True
The Party,2014,TV-14,04 Feb 2014,1,16,22 min,"Comedy, Crime",Michael Engler,"Dan Goor, Michael Schur, Gil Ozeri","Andy Samberg, Stephanie Beatriz, Terry Crews","At Captain Holt's birthday party, Jake, Amy and the other officers try to make a good impression on Holt's husband, but fail miserably.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTAzMjUwOTY5NTheQTJeQWpwZ15BbWU4MDU1OTc2MDEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,4414,tt3485608,tt2467372,episode,True
Full Boyle,2014,TV-14,11 Feb 2014,1,17,22 min,"Comedy, Crime",Craig Zisk,"Dan Goor, Michael Schur, Norm Hiscock","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake tries to keep Charles from going ""full Boyle"" on his new girlfriend. Meanwhile, Rosa and Amy are reluctant to help an amateur caped crime fighter, and Holt faces competition for the presidency of a police organization he foun...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQwMzMyMjMwM15BMl5BanBnXkFtZTgwNzQ0ODYxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,3768,tt3502604,tt2467372,episode,True
The Apartment,2014,TV-14,25 Feb 2014,1,18,22 min,"Comedy, Crime",Tucker Gates,"Dan Goor, Michael Schur, David Quandt","Andy Samberg, Stephanie Beatriz, Terry Crews","Due to his crippling debt, Jake faces losing his apartment, and asks Gina for help. Rosa and Charles clash with one of the weekend officers, and Holt and Terry ask their officers to conduct self-evaluations.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE2Nzc5MjQ4NF5BMl5BanBnXkFtZTgwMTY1MzIyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,3637,tt3531352,tt2467372,episode,True
Tactical Village,2014,TV-14,04 Mar 2014,1,19,22 min,"Comedy, Crime",Fred Goss,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake tries to set a new record on a training course, Rosa is angry when she does not get an invite to Charles' wedding, and Gina helps Holt overcome his newfound addiction to a game on his smartphone.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzA0OTcxNDQ4NF5BMl5BanBnXkFtZTgwNDc1MzIyMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,3951,tt3546816,tt2467372,episode,True
Fancy Brudgom,2014,TV-14,11 Mar 2014,1,20,22 min,"Comedy, Crime",Victor Nelli Jr.,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake tries to convince Charles to stand up to Vivian before the wedding, Terry struggles to stick to a diet after Amy and Gina give up, and Holt tries to get Rosa to make a sincere apology to an officer she offended.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTIyN2UyZGEtOGVmNS00NDk4LWE0N2YtOWUxNTMxN2FkZjAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,3711,tt3565566,tt2467372,episode,True
Unsolvable,2014,TV-14,18 Mar 2014,1,21,22 min,"Comedy, Crime",Ken Whittingham,"Dan Goor, Michael Schur, Prentice Penny","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Terry try to solve an apparently unsolvable case, Amy lies to Holt in order to dodge work and escape for a romantic weekend away, while Gina and Rosa introduce Charles to ""Babylon"", their secret bathroom.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDI0ZTQ1NjAtNDhiNS00OTg3LWIzOTUtNWMxZWQ5NTRjMTg0XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,3750,tt3585294,tt2467372,episode,True
Charges and Specs,2014,TV-14,25 Mar 2014,1,22,21 min,"Comedy, Crime",Akiva Schaffer,"Dan Goor, Michael Schur, Gil Ozeri","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake's latest investigation results in administrative leave, and, ultimately, his firing from the NYPD. Meanwhile, Charles goes into a funk after Vivian breaks up with him before their wedding, and the others try to cheer him up.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTQ3MDIxNTI3MF5BMl5BanBnXkFtZTgwMjQwMjY0MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,4464,tt3594572,tt2467372,episode,True
Undercover,2014,TV-14,28 Sep 2014,2,1,22 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake's undercover operation ends in a successful sting, until he learns one mobster has gotten away. Jake enlists Charles' help to track him down, and Holt tests the squad with practice drills. But can Charles keep his new secret ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODg5YjIwZWYtM2Y5ZS00NTI5LWE0ODMtYjU1OWZkYmMyN2RlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3888,tt3587386,tt2467372,episode,True
Chocolate Milk,2014,TV-14,05 Oct 2014,2,2,21 min,"Comedy, Crime",Fred Goss,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","Holt's old nemesis is in charge of the precinct inspection, Peralta and Jeffords investigate a stabbing before Jeffords goes in for his vasectomy, and Boyle needs a plus-one for his ex-wife's wedding.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzNDIwOTczMF5BMl5BanBnXkFtZTgwMDUwMzY4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3541,tt3887822,tt2467372,episode,True
The Jimmy Jab Games,2014,TV-14,12 Oct 2014,2,3,21 min,"Comedy, Crime",Rebecca Asher,"Dan Goor, Michael Schur, Lakshmi Sundaram","Andy Samberg, Stephanie Beatriz, Terry Crews","The precinct holds a competition while on stand-by for a motorcade, Holt has another run-in with Deputy Chief Wuntch, Boyle needs to get an incriminating videotape from Hitchcock, and Rosa thinks Peralta still has feelings for San...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAxNTYyMTA5N15BMl5BanBnXkFtZTgwODgwMzY4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3823,tt3975718,tt2467372,episode,True
Halloween II,2014,TV-14,19 Oct 2014,2,4,21 min,"Comedy, Crime",Eric Appel,"Dan Goor, Michael Schur, Prentice Penny","Andy Samberg, Stephanie Beatriz, Terry Crews","The Peralta/Holt annual Halloween bet continues when Jake challenges the Captain that he can steal his watch before midnight. Meanwhile, Gina is upset that her dance team, Floorgasm, kicks her off the squad and Terry confronts her...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjkyMzM3NzYwMF5BMl5BanBnXkFtZTgwNjUyMzY4MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,4248,tt3920290,tt2467372,episode,True
The Mole,2014,TV-14,02 Nov 2014,2,5,21 min,"Comedy, Crime",Victor Nelli Jr.,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","There's a mole in the precinct and Holt and Jake need to find out who it is before Deputy Chief Madeline Wuntch gets wind of it. Meanwhile, Terry and Rosa visit a ""silent"" disco to uncover new leads for their new drug task force.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjkzMDk3MzAtMDEwMi00MTJmLTlhN2EtY2I5NzcwODRkYTM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3651,tt3955954,tt2467372,episode,True
Jake and Sophia,2014,TV-14,09 Nov 2014,2,6,22 min,"Comedy, Crime",Michael McDonald,"Dan Goor, Michael Schur, Tricia McAlpin","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake hits it off with a woman at a bar, but later finds out she is the attorney for a perp he is trying to put in jail. Meanwhile, Gina and Charles work to put their relationship behind them, and Amy is pressured into running for ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTM5NjE1ZGUtY2M3My00N2U0LWIzYWYtN2FkMzYxMmYyNjQxXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3339,tt4059886,tt2467372,episode,True
Lockdown,2014,TV-14,16 Nov 2014,2,7,22 min,"Comedy, Crime",Linda Mendoza,"Dan Goor, Michael Schur, Luke Del Tredici","Andy Samberg, Stephanie Beatriz, Terry Crews","The precinct goes into lockdown mode on Thanksgiving night, and Jake, who was left in charge, is confident in his ability to keep spirits high and avoid chaos. Amy is less confident, as things spiral out of control.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTViYmI1N2QtYWIwYy00NDBjLWFlYTgtYWQ2Yjc5MGIwYTYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3465,tt4135098,tt2467372,episode,True
USPIS,2014,TV-14,23 Nov 2014,2,8,22 min,"Comedy, Crime",Ken Whittingham,"Dan Goor, Michael Schur, Brian Reich","Andy Samberg, Stephanie Beatriz, Terry Crews","While attempting to catch a drug dealer, Jake and Charles reluctantly join forces with the nerdy lead investigator at the U.S. Postal Service, Jack Danger. Meanwhile, the rest of the team helps Amy quit smoking.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWUyN2VhMmUtODMyZC00MDJhLTg1ZjUtZjRlNjc5ODE5NTFhXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3406,tt4161002,tt2467372,episode,True
The Road Trip,2014,TV-14,30 Nov 2014,2,9,22 min,"Comedy, Crime",Beth McCarthy-Miller,"Dan Goor, Michael Schur, Brigitte Muñoz-Liebowitz","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Amy have a case early in the morning, so they stay at a hotel overnight. Jake invites Sophia and Amy's boyfriend not knowing that Amy is planning on breaking up with him.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYjhlMTllMjMtNGQ1OC00ZTRhLWFkMmEtNTM0YTM1MjhhMTk4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3615,tt4178204,tt2467372,episode,True
The Pontiac Bandit Returns,2014,TV-14,07 Dec 2014,2,10,22 min,"Comedy, Crime",Max Winkler,"Dan Goor, Michael Schur, Matt O'Brien","Andy Samberg, Stephanie Beatriz, Terry Crews","The Pontiac Bandit aka Doug Judy, is back in custody, after jamming up Jake and Rosa in his previous encounter with them. But when Rosa discovers that Judy knows the whereabouts of the ""Giggle Pig"" drug leader, Capt. Holt offers t...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWE3ZmNkMjgtNjA4My00YjRjLTg5MDctMTU2ZmY3NzlkODVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,3503,tt4195086,tt2467372,episode,True
Stakeout,2014,TV-14,14 Dec 2014,2,11,22 min,"Comedy, Crime",Tristram Shapeero,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake and Boyle go on a stakeout and tensions rise between the two, Rosa shows interest in Holt's nephew, and Terry writes a book for his daughters. Santiago and Gina are displeased when they assume the characters in the book are b...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjdlNmY4YzUtMzBhMS00ZThkLWJkYzgtYTQzMGYzNGMwNDM0XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3369,tt4241288,tt2467372,episode,True
Beach House,2015,TV-14,04 Jan 2015,2,12,22 min,"Comedy, Crime",Tim Kirkby,"Dan Goor, Michael Schur, Lakshmi Sundaram","Andy Samberg, Stephanie Beatriz, Terry Crews",The precinct's annual getaway to Boyle's beach house is ruined when Holt guilts Peralta into inviting him along for the festivities.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmZlYWM3ZmItNmIyZi00ZDhlLTgxYjgtZTg2NWVkM2I5ZjFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,3607,tt4270386,tt2467372,episode,True
Payback,2015,TV-14,11 Jan 2015,2,13,22 min,"Comedy, Crime",Victor Nelli Jr.,"Dan Goor, Michael Schur, Norm Hiscock","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake goes to great lengths to keep Terry's secret from the rest of the precinct, and Amy gets her chance to partner up with Captain Holt.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmI0NDVmNjEtYzk4OS00Yzc4LThkYWUtZWNhNThhNjE4ZDY0XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,3104,tt4303088,tt2467372,episode,True
Defense Rests,2015,TV-14,25 Jan 2015,2,14,21 min,"Comedy, Crime",Jamie Babbit,"Dan Goor, Michael Schur, Prentice Penny","Andy Samberg, Stephanie Beatriz, Terry Crews",Jake tries to impress Sophia's boss. Gina refuses to give her blessing to her mom's engagement. Holt faces a difficult decision.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGM5MjIzZDUtMzRmNS00ODEwLTg5YTItYzkwMGQ2ZGIxYWYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,3381,tt4321708,tt2467372,episode,True
Windbreaker City,2015,TV-14,08 Feb 2015,2,15,22 min,"Comedy, Crime",Craig Zisk,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake is heartbroken over Sophia, but his spirits are lifted when the squad is invited to a Homeland Security terrorist training simulation.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2IzOGY3ZmQtMTlhYy00ZmY4LThjOWUtZDkxYWJjY2U5YWQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3427,tt4362492,tt2467372,episode,True
The Wednesday Incident,2015,TV-14,15 Feb 2015,2,16,22 min,"Comedy, Crime",Claire Scanlon,"Dan Goor, Michael Schur, Laura McCreary","Andy Samberg, Stephanie Beatriz, Terry Crews","Peralta sets out to prove that--for once--he is not the source of Captain Holt's bad mood. Boyle apprehends a notorious bank robber, who turns out to be a harmless-looking old man whom nobody else believes committed the crime.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTQxN2UwMzQtMWNiOS00MmY1LWI0M2EtYjg3ZmY4ZTZmNjA1XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,3254,tt4277880,tt2467372,episode,True
Boyle-Linetti Wedding,2015,TV-14,01 Mar 2015,2,17,22 min,"Comedy, Crime",Dean Holland,"Dan Goor, Michael Schur, Matt O'Brien","Andy Samberg, Stephanie Beatriz, Terry Crews","It's the day of Gina and Charles' parents' wedding, and the whole squad is given a job to fulfill for the ceremony. However, Jake and Amy get sidetracked chasing a criminal, and Terry struggles to officiate the wedding.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzM0YThmNGEtOTE0Yi00NDY0LWFmZDMtYTBmOGRmNWY5Mzg4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,3412,tt4375136,tt2467372,episode,True
Captain Peralta,2015,TV-14,08 Mar 2015,2,18,22 min,"Comedy, Crime",Eric Appel,"Dan Goor, Michael Schur, Gabe Liedman","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake's mainly absentee father, Roger (guest star Bradley Whitford), comes to town to spend some time with his son. Jake can't wait to see him, but Charles is skeptical of Roger's intentions. Meanwhile, Holt tasks Amy, Terry, Gina ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGVhMTc5ODAtMDc2NS00MjAxLTkwZDEtMTFmNTU5MTcyZTY0XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,3262,tt4454544,tt2467372,episode,True
Sabotage,2015,TV-14,15 Mar 2015,2,19,21 min,"Comedy, Crime",Jaime Eliezer Karas,"Dan Goor, Michael Schur, Brian Reich","Andy Samberg, Stephanie Beatriz, Terry Crews",Amy and Rosa investigate Jake's claim that somebody is trying to sabotage him and get him fired. Boyle partners up with Hitchcock and Scully to solve a case. Captain Holt refuses to lie with Terry about attending Gina's dance perf...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjZlMTQ2OTUtN2I1ZS00NjViLTliZWQtYmEyMzRhYmMxYzdkXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,3017,tt4423346,tt2467372,episode,True
AC/DC,2015,TV-14,26 Apr 2015,2,20,22 min,"Comedy, Crime",Linda Mendoza,"Dan Goor, Michael Schur, Kylie Condon","Andy Samberg, Stephanie Beatriz, Terry Crews","Jake is badly injured trying to chase a suspect, but he refuses to take time off from the job. Holt and Rosa have an awkward dinner date with their significant others, so they invite Amy and Gina along as well.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTZmZTI0N2ItZTdiMy00ZWJmLTg3MWItOTNmYzZkYzQ3YTA5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,2942,tt4526676,tt2467372,episode,True
